FGGID,Group Name,Associated Groups,Description,References
FGG5001,Liminal Panda,"UNC1945, LIghtBasin","LIMINAL PANDA is a China-linked, state-sponsored cyber threat group primarily targeting telecommunications providers, with operations dating back to at least 2020. The group uses advanced tactics to infiltrate networks, establish covert command and control, and exfiltrate sensitive data, including mobile subscriber information and call metadata. LIMINAL PANDA demonstrates extensive knowledge of telecom networks, employing custom and publicly available tools to exploit vulnerabilities, particularly those in inter-provider trust relationships. Their activities suggest a focus on intelligence collection rather than financial gain, with a likely connection to China's strategic interests.",https://www.crowdstrike.com/en-us/blog/liminal-panda-telecom-sector-threats/
FGG5002,Stone Panda,"Cicada, POTASSIUM, Stone Panda, APT10, Red Apollo, CVNX, HOGFISH, BRONZE RIVERSIDE","Stone Panda, a part of the larger APT41 group, is a state-sponsored actor believed to be operating out of China. They have been active since at least 2012 and are known for their dual goals of cyber espionage and financial gain. Operation Soft Cell specifically targeted the telecommunications sector, aiming to gather intelligence on high-profile individuals and organizations by compromising telecom companies globally. Stone Panda's operations are characterized by their use of sophisticated techniques, extensive resources, and ability to adapt quickly to countermeasures .",https://www.cybereason.com/blog/research/operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers
FGG5003,HIddenArt,,HiddenArt is the name  assigned to a Signalling threat actor (platform) that Enea believes with a high degree of confidence to originate from Russian network sources,https://www.enea.com/insights/the-hunt-for-hiddenart/
FGG5004,Scattered Spider,UNC3944,"UNC3944, which overlaps with public reporting on Scattered Spider, is a financially-motivated threat actor characterized by its persistent use of social engineering and brazen communications with victims. In early operations, UNC3944 largely targeted telecommunications-related organizations to support SIM swap operations.",Defending Against UNC3944: Cybercrime Hardening Guidance from the Frontlines https://cloud.google.com/blog/topics/threat-intelligence/unc3944-proactive-hardening-recommendations
G1045,Salt Typhoon,"Earth Estries, FamousSparrow, GhostEmperor, and UNC2286.",Salt Typhoon is a People's Republic of China (PRC) state-backed actor that has been active since at least 2019 and responsible for numerous compromises of network infrastructure at major U.S. telecommunication and internet service providers (ISP).,"China Penetrated US Telecom Providers to Snoop on Wiretapping Systems (informationweek.com)

https://www.securityweek.com/chinas-salt-typhoon-hacked-att-verizon-report    

https://www.picussecurity.com/resource/blog/salt-typhoon-telecommunications-threat"
G0093,GALLIUM,Granite Typhoon,"GALLIUM is a cyberespionage group that has been active since at least 2012, primarily targeting telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam. This group is particularly known for launching Operation Soft Cell, a long-term campaign targeting telecommunications providers. Security researchers have identified GALLIUM as a likely Chinese state-sponsored group, based in part on tools used and TTPs commonly associated with Chinese threat actors.",https://www.microsoft.com/en-us/security/blog/2019/12/12/gallium-targeting-global-telecom/ 
G0139,TeamTNT,,TeamTNT is a threat group that has primarily targeted cloud and containerized environments. The group as been active since at least October 2019 and has mainly focused its efforts on leveraging cloud and container resources to deploy cryptocurrency miners in victim environments.,"https://documents.trendmicro.com/assets/white_papers/wp-tracking-the-activities-of-teamTNT.pdf 
 "
G0091,Silence,Whisper Spider,"Silence is a financially motivated threat actor targeting financial institutions in different countries. The group was first seen in June 2016. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan. They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing.",
G0125,HAFNIUM,"Operation Exchange Marauder, Silk Typhoon","HAFNIUM is a likely state-sponsored cyber espionage group operating out of China that has been active since at least January 2021. HAFNIUM primarily targets entities in the US across a number of industry sectors, including infectious disease researchers, law firms, higher education institutions, defense contractors, policy think tanks, and NGOs. HAFNIUM has targeted remote management tools and cloud software for intial access and has demonstrated an ability to quickly operationalize exploits for identified vulnerabilities in edge devices.",
G0016,APT29,"	IRON RITUAL, IRON HEMLOCK, NobleBaron, Dark Halo, NOBELIUM, UNC2452, YTTRIUM, The Dukes, Cozy Bear, CozyDuke, SolarStorm, Blue Kitsune, UNC3524, Midnight Blizzard","APT29 is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR). They have operated since at least 2008, often targeting government networks in Europe and NATO member countries, research institutes, and think tanks. APT29 reportedly compromised the Democratic National Committee starting in the summer of 2015.

In April 2021, the US and UK governments attributed the SolarWinds Compromise to the SVR; public statements included citations to APT29, Cozy Bear, and The Dukes. Industry reporting also referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and SolarStorm.",
